一	个,些,种,般,定,样,次,直,切,声,起,点,下,条,位
一卡	通
一卧	不起
一卧不	起
一压	下,到,在
一厢	情愿
一厢情	愿
一去	不返,一来,不回,不复
一去一	来
一去不	返,回,复
一双	双,眼,半,家,多,两好,千层,双手,夜,滴,点
一双两	好
一双千	层
一双双	手
一反	常态,其道,既往
一反其	道
一反常	态
一反既	往
一发	发,不可,千钧,破的
一发不	可
一发千	钧
一发破	的
一叠	叠
一口	气,咬定,口,袋,一声,三舌,两匙,价,同声,同音,泉,钟
一口一	声
一口三	舌
一口两	匙
一口同	声,音
一口咬	定
一古	脑儿,脑
一古脑	儿
一句	句
一叶	障目,知秋,扁舟,报秋,荻,蔽目,迷山
一叶扁	舟
一叶报	秋
一叶知	秋
一叶蔽	目
一叶迷	山
一叶障	目
一号	线,通,机
一吐	为快
一吐为	快
一向	如此
一向如	此
一吠	百声
一吠百	声
一吨	半
一听	之下
一听之	下
一员	大将
一员大	将
一周	年,岁
一呵	而就
一呵而	就
一呼	百应,百诺,再喏
一呼再	喏
一呼百	应,诺
一命	呜呼,归西,之荣,归天,归阴,鸣呼
一命之	荣
一命呜	呼
一命归	西,天,阴
一命鸣	呼
一品	红,堂,夫人,白衫,锅
一品夫	人
一品白	衫
一哄	而散,而上,而起
一哄而	散,上,起
一唱	一和,百和,三叹
一唱一	和
一唱三	叹
一唱百	和
一喊	出,到
一喝	到
一喷	一醒
一喷一	醒
一噎	止餐
一噎止	餐
一嚬	一笑
一嚬一	笑
一四	五团
一四五	团
一回	回,生
一团	糟,漆黑,乱麻,和气,乱
一团乱	麻
一团和	气
一团漆	黑
一国	两制,三公,之主,之君
一国三	公
一国两	制
一国之	主,君
一圈	圈
一场	空,场,春梦,虚惊
一场春	梦
一场虚	惊
一坐	一起,尽倾,尽惊,皆惊
一坐一	起
一坐尽	倾,惊
一坐皆	惊
一块	儿,块,钱
一垒	手
一堂	课
一堆	堆
一塌	糊涂,胡涂,刮子
一塌刮	子
一塌糊	涂
一塌胡	涂
一墙	之隔
一墙之	隔
一壁	厢
一声	不吭,不响,令下,声,春雷
一声不	吭,响
一声令	下
一声春	雷
一壶	千金,水,酒
一壶千	金
一壸	千金
一壸千	金
一处	处
一夔	一契,已足
一夔一	契
一夔已	足
一夕	一朝,之间
一夕一	朝
一夕之	间
一多	半,数,等
一夜	间,之间,性,情,风流
一夜之	间
一夜风	流
一夥	人,儿
一大	早,半,批,部分,家子,二公,口,块,堆,帮,截,排,步,笔,笔钱
一大二	公
一大宗	派
一大家	子
一大笔	钱
一大部	分
一天	到晚,天,星斗,一地,两天
一天一	地
一天两	天
一天到	晚
一天星	斗
一夫	当关,一妻,之勇,多妻
一夫一	妻
一夫之	勇
一夫多	妻
一夫当	关
一失	一得,足成
一失一	得
一失足	成
一头	儿,把,则,儿沉,沉,热,雾水,架
一头儿	沉
一头雾	水
一套	套
一女	一男
一女一	男
一奶	同胞
一奶同	胞
一好	百好
一好百	好
一如	既往,往昔
一如往	昔
一如既	往
一妻	制,多夫
一妻多	夫
一子	一女
一子一	女
一孔	之见,不达
一孔不	达
一孔之	见
一字	排开,一句,一顿,不差,之差,一板,千金,一泪,一珠,不易,不漏,不苟,之师,之贬,兼金
一字一	句,顿,板,泪,珠
一字不	差,易,漏,苟
一字之	差,师,贬
一字兼	金
一字千	金,斤,秋,钧
一字排	开
一字褒	贬
一字连	城
一字长	城
一季	度
一孤	之腋
一孤之	腋
一官	半职
一官半	职
一定	量,之规,不易,不移
一定不	易,移
一定之	规
一审	判决
一审判	决
一室	生春
一室生	春
一家	人,子,老小,一户,之言,家,之长,一火,一计,之主,之作,之学,之计,之辞,无二
一家一	户,火,计
一家之	言,长,主,作,学,计,辞
一家无	二
一家独	大
一家眷	属
一家老	小
一寒	如此
一寒如	此
一寸	丹心,赤心
一寸丹	心
一寸赤	心
一对	一,对,二,半
一封	信,封
一将	难求
一将难	求
一小	撮,半,包,块,堆,片,部分
一小部	分
一少	部分
一少部	分
一尘	不染,不到,莫沾
一尘不	染,到
一尘莫	沾
一尸	两命
一尸两	命
一局	上半,下半
一局上	半
一局下	半
一屁	股债
一屁股	债
一层	层,楼
一展	身手,歌喉,无垠,长才,风采
一展无	垠
一展歌	喉
一展身	手
一展长	才
一展风	采
一山	一水,之隔
一山一	水
一山之	隔
一岁	一枯,三迁,九迁,再赦,载赦
一岁一	枯
一岁三	迁
一岁九	迁
一岁再	赦
一岁载	赦
一岗	双责
一岗双	责
一左	一右
一左一	右
一差	两讹,二悮,二误,二错,半错
一差两	讹
一差二	悮,误,错
一差半	错
一己	之私,之见
一己之	私,见
一巴	掌
一帆	风顺,顺风
一帆顺	风
一帆风	顺
一带	而过
一带而	过
一席	话,之地,谈
一席之	地
一帮	人
一幅	幅
一幕	幕
一幢	幢
一干	二净,人犯
一干二	净
一干人	犯
一平	二调,方米
一平二	调
一平方	米
一年	一度,生,四季,半载,到头,期,之计,多来,生植,级,计划,制
一年一	度
一年之	计
一年到	头
一年半	载
一年四	季
一年多	来
一年生	植
一年计	划
一并	处理
一并处	理
一序	列
一应	俱全
一应俱	全
一府	两院
一府两	院
一座	座,皆惊
一座皆	惊
一廉	如水
一廉如	水
一开	出,出来,到
一开出	来
一式	一样,两份
一式一	样
一式两	份
一弘	清泉
一弘清	泉
一弛	一张
一弛一	张
一张	一弛,一驰,白纸
一张一	弛,驰
一张白	纸
一弹	指,指顷
一弹指	顷
一彻	万融
一彻万	融
一往	情深,无前,直前,而深
一往情	深
一往无	前
一往直	前
一往而	深
一律	平等
一律平	等
一得	之见,之功,之愚
一得之	见,功,愚
一德	一心
一德一	心
一心	一意,二用,一德,一力,一腹,一计,一路,不乱,两用,为公,同功,同归,向上,多用,同体
一心一	意,德,力,腹,计,路
一心不	乱
一心两	用
一心为	公
一心二	用
一心同	功,归,体
一心向	上
一心多	用
一心无	二
一忍	再忍
一忍再	忍
一念	之差,之误,之间
一念之	差,误,间
一忽	儿,见
一怒	之下,而去
一怒之	下
一怒而	去
一息	尚存,奄奄
一息奄	奄
一息尚	存
一悲	一喜
一悲一	喜
一想	之下
一想之	下
一意	孤行
一意孤	行
一成	不变,一旅,不易
一成一	旅
一成不	变,易
一战	之下
一战之	下
一截	儿
一户	户
一房	一厅
一房一	厅
一所	所
一扇	门
一手	包办,遮天,一足,交货,交钱,托天,独拍,一脚
一手一	足,脚
一手交	货,钱
一手包	办
一手托	天
一手独	拍
一手遮	天
一扫	而光,而空,光,而过
一扫而	光,空,过
一批	批
一技	之长
一技之	长
一把	手,抓,子,死拿,汗
一把死	拿
一抓	到底
一抓到	底
一抔	黄土
一抔黄	土
一投	手
一抢	而空,而光
一抢而	空,光
一报	到
一抬	到
一抷	黄土
一抷黄	土
一抹	黑
一拉	之下
一拉之	下
一拍	即合,即和
一拍即	合,和
一拖	再拖,二
一拖再	拖
一招	一式,半式,毙命
一招一	式
一招半	式
一招毙	命
一拜	天地
一拜天	地
一拥	而上,而入
一拥而	上,入
一拨	儿
一挂	之下
一挂之	下
一按	下,到,在
一挥	而就,九制,而成
一挥九	制
一挥而	就,成
一捇	仆
一损	俱损
一损俱	损
一掉	头
一掊	土
一排	排
一接	如旧
一接如	旧
一推	了之,两搡,之下
一推两	搡
一推之	下
一推了	之
一掷	千金,乾坤,百万
一掷乾	坤
一掷千	金
一掷百	万
一提	之下
一提之	下
一揽	子,包收
一揽包	收
一搭	一档,两用,二用
一搭一	档
一搭两	用
一搭二	用
一摊	子
一摸	之下
一摸之	下
一撅	一拐
一撅一	拐
一播	出
一支	半节,花
一支半	节
一改	故辙
一改故	辙
一教	就会
一教就	会
一整	套,天,块,片,只,夜,头,瓶,座,张,杯
一文	不值,不名,如命,钱
一文不	值,名
一文如	命
一斑	半点,窥豹
一斑半	点
一斑窥	豹
一方	面,平安,水土,之任,有难
一方之	任
一方平	安
一方有	难
一方水	土
一旁	观,凉快
一旁凉	快
一无	所知,所有,所获,是处,所得,所长,所取,所恃,所成,所求,所能,所闻,长物,可取
一无可	取
一无所	知,有,获,得,长,取,恃,成,求,能,闻
一无是	处
一无长	物
一日	游,三餐,千里,之功,不见,日,之长,万几,万机,万里,三复,三岁,三月,三覆,为师
一日万	几,机,里
一日三	餐,复,岁,月,覆,省,秋
一日不	见
一日为	师
一日之	功,长,计,雅
一日九	迁
一日千	里,丈
一日数	惊
一旦	一夕
一旦一	夕
一时	期,间,三刻,半刻,性,半会,一刻,之选,一事,之权,之秀,之间,伯仲,冲动,千载
一时一	刻,事
一时三	刻
一时之	选,权,秀,间
一时伯	仲
一时冲	动
一时千	载
一时半	刻,会,晌,霎
一时拥	有
一时无	两
一星	半点,级
一星半	点
一是	一
一显	身手
一显身	手
一晃	儿,眼,而过
一晃而	过
一晦	一明
一晦一	明
一暝	不视
一暝不	视
一暴	十寒
一暴十	寒
一曝	十寒
一曝十	寒
一曲	阳关,曲
一曲阳	关
一月	份,底
一服	药水
一服药	水
一望	无际,而知,无垠,无边,无涯
一望无	际,垠,边,涯
一望而	知
一朝	一夕,之忿,之患,千里,天子
一朝一	夕
一朝之	忿,患
一朝千	里
一朝天	子
一期	稻作
一期稻	作
一木	难支
一木难	支
一本	正经,万利,初衷
一本万	利
一本初	衷
一本正	经
一朵	朵,花
一机	部
一束	花
一条	龙,街,心,条,线,藤,藤儿
一条藤	儿
一来	二去,一去,一往,二往
一来一	去,往
一来二	去,往
一杯	杯
一板	一眼,三眼
一板一	眼
一板三	眼
一枕	南柯,槐安,邯郸,黄梁,黄粱
一枕南	柯
一枕槐	安
一枕邯	郸
一枕黄	梁,粱
一枝	独秀,一栖,一节,之栖,春,花,香,黄花,梅
一枝一	栖,节
一枝之	栖
一枝独	秀
一枝黄	花
一架	次
一查	到底
一查到	底
一柱	承天,擎天
一柱承	天
一柱擎	天
一栋	栋
一树	了之,百获
一树了	之
一树百	获
一栖	两雄
一栖两	雄
一株	株
一样	样
一根	一板
一根一	板
一档	子
一桶	桶
一梦	华胥
一梦华	胥
一梯	次
一棍	子
一棵	树
一概	而论,不理,不知
一概不	理,知
一概而	论
一榻	横陈,糊涂,胡涂
一榻横	陈
一榻糊	涂
一榻胡	涂
一槌	定音
一槌定	音
一模	一样,二样
一模一	样
一模二	样
一次	性,次,方程,函数,能源
一次函	数
一次方	程
一次能	源
一正	一负
一正一	负
一步	步,到位,登天,一趋,一鬼,之遥,棋,法,舞
一步一	趋,鬼
一步之	遥
一步到	位
一步登	天
一死	一伤,一生,了之
一死一	伤,生
一死了	之
一段	时间,票,落,话,距离,路,段
一段时	间
一段距	离
一毛	不拔,钱
一毛不	拔
一毫	不差,不染,不苟,千里,升
一毫不	差,染,苟
一毫千	里
一民	同俗
一民同	俗
一气	呵成,之下,浑成
一气之	下
一气呵	成
一气浑	成
一氧	化碳,化氮,化物,化铅
一氧化	碳,氮,物,铅
一氯	甲烷
一氯甲	烷
一水	之隔,儿
一水之	隔
一江	之隔
一江之	隔
一池	春水,秋水
一池春	水
一池秋	水
一汽	集团,大众
一汽大	众
一汽集	团
一法	郎
一波	三折,未平,又起,万波
一波万	波
一波三	折
一波又	起
一波未	平
一泻	千里,而下,万里,百里
一泻万	里
一泻千	里
一泻百	里
一泻而	下
一洗	尘俗
一洗尘	俗
一派	胡言
一派胡	言
一流	人才,大学
一流人	才
一流大	学
一浆	十饼
一浆十	饼
一清	二楚,早,二白,如水
一清二	楚,白
一清如	水
一溜	烟,儿,歪斜,烟儿,风
一溜歪	斜
一溜烟	儿
一滴	水
一潭	死水
一潭死	水
一灯	大师
一灯大	师
一炮	打响,而红
一炮打	响
一炮而	红
一炷	香
一点	儿,点,多,一点,一滴,红,点儿,两点,半点,六亿,几,半,很多,灵犀,钟
一点一	点,滴,撇
一点两	点
一点五	万,米
一点六	亿
一点半	点,滴
一点很	多
一点灵	犀
一点点	儿
一爱	上
一片	片,汪洋,狼藉,焦土,丹心,冰心,宫商,成名,散沙,生机,痴心,空白,至诚,苦心
一片丹	心
一片冰	心
一片宫	商
一片成	名
一片散	沙
一片汪	洋
一片焦	土
一片狼	藉
一片生	机
一片痴	心
一片空	白
一片至	诚
一片苦	心
一版	再版
一版再	版
一牛	九锁,吼地,鸣,鸣地
一牛九	锁
一牛吼	地
一牛鸣	地
一物	不知
一物不	知
一犬	吠形
一犬吠	形
一狐	之腋
一狐之	腋
一狠	二狠
一狠二	狠
一献	三售,三酬
一献三	售,酬
一现	昙华
一现昙	华
一班	人,人马,一级,一辈,半点
一班一	级,辈
一班人	马
一班半	点
一琴	一鹤
一琴一	鹤
一瓣	心香
一瓣心	香
一生	一世,一代,不变,九死,何求
一生一	世,代
一生不	变
一生九	死
一生何	求
一用	到
一甲	胺,子
一男	半女,一女,二女
一男一	女
一男二	女
一男半	女
一画	开天
一画开	天
一番	话,多,滋味,苦心,重,夜,方
一番滋	味
一番苦	心
一病	不起
一病不	起
一瘸	一拐
一瘸一	拐
一登	龙门
一登龙	门
一百	个,年,多年,两,万,多,名,元,块,万两,多个,多名,斤,余,倍
一百一	十
一百七	十
一百万	两,个,元,镑,斤,户,贯,倍,名,年,瓶
一百三	十
一百两	百
一百九	十
一百二	十
一百五	十
一百亿	年
一百余	里,年,招,万,名,家,丈,位,员,岁
一百八	十,瓶
一百公	里
一百六	十
一百几	十
一百千	米
一百单	八
一百周	年
一百四	十
一百多	年,个,名,位,里,万,斤,块,米,天,元,只,号,条,页
一百廿	个
一百数	十
一百有	余
一百海	里
一百零	八,三,五,六,七,二
一盎	司
一盏	灯,盏
一盒	盒
一盘	散沙,棋,菜
一盘散	沙
一目	了然,十行,之士,五行,数行
一目之	士
一目了	然
一目五	行
一目十	行
一目数	行
一直	未果
一直未	果
一相	情愿,情原
一相情	愿,原
一省	两地
一省两	地
一看	之下,再看
一看之	下
一看再	看
一眨	巴眼,眼
一眨巴	眼
一眼	看穿
一眼看	穿
一着	不慎
一着不	慎
一睹	为快,之下,芳容
一睹为	快
一睹之	下
一睹芳	容
一瞑	不视
一瞑不	视
一瞧	之下
一瞧之	下
一瞬	间,千里,即逝,而逝,间把
一瞬千	里
一瞬即	逝
一瞬而	逝
一瞬间	把
一瞻	丰采
一瞻丰	采
一矢	双穿
一矢双	穿
一知	半解,半见,片解
一知半	解,见
一知片	解
一石	二鸟,两鸟,多鸟
一石两	鸟
一石二	鸟
一石多	鸟
一码	事,当先,软件,领先
一码当	先
一码软	件
一码领	先
一砖	一瓦
一砖一	瓦
一碗	水
一碧	如洗,万倾,万顷,千里
一碧万	倾,顷
一碧千	里
一碧如	洗
一神	教,论
一票	否决,人,人马,制,通
一票人	马
一票否	决
一秉	至公,虔诚,大公
一秉大	公
一秉至	公
一秉虔	诚
一秒	钟
一程	子
一稿	多投
一稿多	投
一穷	二白
一穷二	白
一空	依傍
一空依	傍
一窍	不通
一窍不	通
一窝	蜂,风
一窥	全豹
一窥全	豹
一立	方米
一立方	米
一站	式,站,通
一竿	子,子打
一竿子	打
一笑	置之,了之,了事,倾城,百媚,而过,一颦,千金
一笑一	颦
一笑了	之,事
一笑倾	城
一笑千	金
一笑百	媚
一笑置	之
一笑而	过
一笔	勾销,带过,抹煞,不苟,勾消,一画,划,勾断,抹摋,抹杀,钩断,笔
一笔一	画
一笔不	苟
一笔勾	销,消,断
一笔带	过
一笔抹	煞,摋,杀
一笔钩	断
一第	二部,四部
一第二	部
一第四	部
一等	奖,功,一,兵,品,舱
一筹	莫展
一筹莫	展
一算	之下
一算之	下
一箩	筐
一箪	一瓢,食
一箪一	瓢
一箭	双雕,之仇,之地,之遥,上垛,双,双鵰,地
一箭上	垛
一箭之	仇,地,遥
一箭双	雕,鵰
一篇	篇
一篑	之功
一篑之	功
一篓	篓
一簇	簇
一簧	两舌
一簧两	舌
一米	板,阳光
一米阳	光
一粗	一细
一粗一	细
一系	列
一索	得男,成男
一索得	男
一索成	男
一级	代理,准尉,品,相变,简码,预防
一级代	理
一级准	尉
一级相	变
一级简	码
一级预	防
一纸	空文,千金
一纸千	金
一纸空	文
一线	生机,天,之路,品牌,希望,通
一线之	路
一线品	牌
一线希	望
一线生	机
一组	组
一统	天下,江湖
一统天	下
一统江	湖
一缕	缕
一缘	一会
一缘一	会
一缸	水
一网	打尽,尽扫,通
一网尽	扫
一网打	尽
一美	元
一群	群
一翻	出,到
一老	一少
一老一	少
一而	再,再再
一而再	再
一肉	之味
一肉之	味
一肚	子,子气,子火
一肚子	气,火
一股	脑儿,脑,劲儿,风,劲,就灵
一股劲	儿
一股就	灵
一股脑	儿
一肢	半节
一肢半	节
一胎	化
一脉	相承,相传,相通,同气,香烟
一脉同	气
一脉相	承,传,通
一脉香	烟
一脚	不移
一脚不	移
一脱	二
一脸	茫然
一脸茫	然
一腔	热血,热诚
一腔热	血,诚
一臂	之力
一臂之	力
一至	于斯
一至于	斯
一致	性,同意,意见,百虑
一致同	意
一致意	见
一致百	虑
一般	说来,来说,见识,性,来讲,而言,而论,无二,化,地说,般,方程,照明
一般地	说
一般方	程
一般无	二
一般来	说,讲
一般照	明
一般而	言,论
一般见	识
一般说	来
一艘	船
一节	课
一花	独放,独秀
一花独	放,秀
一苇	可航
一苇可	航
一英	寸,里
一草	一木
一草一	木
一荣	俱荣
一荣俱	荣
一荤	一素
一荤一	素
一落	千丈,泻势
一落千	丈
一落泻	势
一虎	不河,势单
一虎不	河
一虎势	单
一蛇	两头
一蛇两	头
一行	行,作吏
一行作	吏
一衣	带水
一衣带	水
一表	人才,非俗,人材,人物,堂堂,非凡
一表人	才,材,物
一表堂	堂
一表非	俗,凡
一褱	而论
一褱而	论
一要	到
一见	如故,钟情,倾心,锺情,了然,如旧,方
一见了	然
一见倾	心
一见如	故,旧
一见钟	情
一见锺	情
一视	同仁
一视同	仁
一览	无余,表,无遗
一览无	余,遗
一角	钱
一觞	一咏
一觞一	咏
一触	即发,即溃,即爆
一触即	发,溃,爆
一言	不发,一行,既出,为定,难尽,九鼎,半语,堂,不合,不和,两语,丧邦,中的,以蔽,兴邦
一言一	行
一言不	发,合,和
一言两	语
一言丧	邦
一言中	的
一言为	定
一言九	鼎
一言以	蔽
一言兴	邦
一言千	金
一言半	语,辞,句
一言既	出
一言未	发
一言蔽	之
一言难	尽
一讲	出,到
一试	身手,之下
一试之	下
一试身	手
一语	道破,中的,双关,破的,惊人,不发,不合,中人,惊醒
一语不	发,合
一语中	的,人
一语双	关
一语惊	人,醒
一语破	的
一语道	破
一误	再误
一误再	误
一说	到
一诺	千金,无辞
一诺千	金
一诺无	辞
一读	再读
一读再	读
一调	之下
一调之	下
一谦	四益
一谦四	益
一谷	不升,不登
一谷不	升,登
一败	涂地,如水
一败如	水
一败涂	地
一贫	如洗
一贫如	洗
一贯	性,制,下来,主张,作业,作风,方针,道,煎
一贯下	来
一贯主	张
一贯作	业,风
一贯方	针
一资	半级
一资半	级
一走	了之
一走了	之
一跃	而起,而过,龙门
一跃而	起,过
一跃龙	门
一跌	不振,再跌
一跌不	振
一跌再	跌
一路	上,行,平安,打,顺风,出,货色,路,下,响,风尘,分,发,盘升,神祇
一路平	安
一路盘	升
一路神	祇
一路福	星
一路货	色
一路顺	风,车
一路领	先
一路风	尘,清
一蹦	三跳
一蹦三	跳
一蹴	而就,可几,可及,可成,而及,而得,而成,而易
一蹴可	几,及,成
一蹴而	就,及,得,成,易
一蹶	不振,不兴,不起
一蹶不	振,兴,起
一身	正气,清白,两头,两役,二任,五心,是汗,是胆,轻
一身两	头,役
一身二	任
一身五	心
一身是	汗,胆
一身正	气
一身清	白
一车	子
一轨	同风
一轨同	风
一转	眼,瞬间
一转瞬	间
一较	高下,高低
一较高	下,低
一辆	车,辆
一辈	子,子架,子打,子头
一辈子	架,打,头
一辞	同轨,莫赞
一辞同	轨
一辞莫	赞
一边	倒
一迎	一和
一迎一	和
一还	一报
一还一	报
一进	到
一连	串,几天,气儿
一连几	天
一连气	儿
一迭	连声
一迭连	声
一通	百通,通
一通百	通
一逞	兽欲
一逞兽	欲
一道	道
一遮	之下
一遮之	下
一部	分,分一,分分,分第,分台,分周,分回,分班,分瓦
一部分	一,分,第,台,周,回,班,瓦
一醉	方休
一醉方	休
一重	一掩
一重一	掩
一针	见血,一线,一缐
一针一	线,缐
一针见	血
一钱	不值,不名,如命
一钱不	值,名
一钱如	命
一锅	粥,端,煮
一错	再错
一错再	错
一锤	定音
一锤定	音
一键	必杀
一键必	杀
一长	制,一短,两短,串,二短,半短
一长一	短
一长两	短
一长二	短
一长半	短
一门	心思,同气,忠烈
一门同	气
一门心	思
一门忠	烈
一闪	而过,即逝
一闪即	逝
一闪而	过
一问	一答,三不,之下
一问一	答
一问三	不
一问之	下
一闻	千悟
一闻千	悟
一阳	指
一阵	子,阵,风,响,一阵,儿,发,枪,雨,子两,溜,线
一阵一	阵
一阵子	两
一阶	半级,半职,效率,理论
一阶半	级,职
